language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,5,8,pan,casual,7.153,,218.6,219.4,33,138.9,298.3,159.5,93.07,93.33,2.63,5.68,18.92,13.24,68.4,66.6,36,0.01075,0.00284,0.00554,0.0007,0.08481,0.09808,0.027,2.82,-13.9,-19.5,15.4,0.103,0.01075,0.00284,0.08481,0.027
Korean,F,epr,epr_kor,5,9,con,polite,9.184,,244.6,243.5,52.2,148.5,397.8,249.2,94.82,95.13,3.72,6.85,23.83,16.98,70.7,68,38.5,0.00895,0.00203,0.00382,0.0009,0.08992,0.086,0.03009,4.69,-12.7,-18.4,15.8,0.0921,0.00895,0.00203,0.08992,0.03009
Korean,F,epr,epr_kor,5,9,pan,casual,7.602,,252.8,244.5,50.8,159.1,389.9,230.9,95.43,95.2,3.5,8.03,23.56,15.52,72.1,69.4,37.7,0.00908,0.00231,0.00402,0.0009,0.08845,0.09054,0.02852,5.42,-11.1,-20,15.3,0.0965,0.00908,0.00231,0.08845,0.02852
Korean,F,epr,epr_kor,6,10,con,polite,7.497,,188.6,189.2,24.1,138,262.3,124.3,90.57,90.76,2.25,5.59,16.69,11.1,73.6,70.5,39.2,0.01159,0.0029,0.00569,0.0007,0.0797,0.08375,0.01991,0.49,-15.5,-25.3,17.4,0.08,0.01159,0.0029,0.0797,0.01991
Korean,F,epr,epr_kor,6,10,pan,casual,6.948,,196.7,196.7,27.8,127,257.4,130.4,91.26,91.43,2.55,4.16,16.37,12.21,73.5,69.8,42,0.01202,0.00317,0.00596,0.0008,0.0866,0.08439,0.02554,1.69,-13.1,-25,16.1,0.111,0.01202,0.00317,0.0866,0.02554
Korean,F,epr,epr_kor,6,1,con,polite,6.422,,195.3,200.1,29.7,129.1,265.5,136.4,91.11,91.73,2.73,4.42,16.9,12.48,74,71,34.9,0.0121,0.00288,0.00525,0.0009,0.07419,0.07613,0.01791,1.69,-14.6,-23.1,16.6,0.0899,0.0121,0.00288,0.07419,0.01791
Korean,F,epr,epr_kor,6,1,pan,casual,4.675,,206.4,203,28.4,146,295.8,149.8,92.11,91.99,2.37,6.56,18.7,12.14,74.3,71.9,33.3,0.00956,0.00216,0.00409,0.0007,0.08189,0.08394,0.02497,-0.09,-14.1,-26.4,17.5,0.0674,0.00956,0.00216,0.08189,0.02497
Korean,F,epr,epr_kor,6,2,con,polite,8.022,,185.7,184.4,20.3,133.6,232.5,99,90.34,90.32,1.92,5.02,14.61,9.59,73.5,71.8,41,0.01054,0.00256,0.0047,0.0006,0.06324,0.06166,0.01949,1.84,-19.8,-20.2,18.3,0.0688,0.01054,0.00256,0.06324,0.01949
Korean,F,epr,epr_kor,6,2,pan,casual,6.188,,193.2,187.6,32.2,136.2,290.9,154.7,90.89,90.62,2.85,5.35,18.49,13.14,74.5,72.9,28.4,0.00929,0.00239,0.00449,0.0009,0.06423,0.06593,0.01848,0.39,-13.9,-23.4,18.6,0.0718,0.00929,0.00239,0.06423,0.01848
Korean,F,epr,epr_kor,6,3,con,polite,8.197,,197.6,190.2,31.9,133.5,282.3,148.8,91.3,90.86,2.75,5,17.97,12.96,73.2,70.9,31.2,0.01088,0.00279,0.0054,0.0009,0.08405,0.08354,0.02795,2.45,-16.3,-20.3,17.4,0.0982,0.01088,0.00279,0.08405,0.02795
Korean,F,epr,epr_kor,6,3,pan,casual,6.99,,207,202.6,33,134.7,285.2,150.5,92.1,91.95,2.78,5.17,18.15,12.98,75.1,72.5,28.8,0.00919,0.00226,0.00471,0.0008,0.06887,0.0638,0.02147,-0.72,-12.8,-25.5,18.9,0.0644,0.00919,0.00226,0.06891,0.0214
Korean,F,epr,epr_kor,6,4,con,polite,9.488,,190.6,191.2,29.6,119.4,264,144.6,90.68,90.95,2.76,3.07,16.8,13.74,73.5,70.5,34.7,0.01131,0.0028,0.00521,0.0009,0.06667,0.07156,0.02061,2.13,-16.5,-20.5,17,0.081,0.01131,0.0028,0.06665,0.02059
Korean,F,epr,epr_kor,6,4,pan,casual,8.109,,187.1,183.4,24.1,141.9,254,112.1,90.43,90.23,2.18,6.09,16.14,10.05,73.2,70.9,35,0.01046,0.00293,0.00556,0.0008,0.07803,0.0748,0.02655,0.73,-16.6,-21.3,17,0.0877,0.01046,0.00293,0.07805,0.02654
Korean,F,epr,epr_kor,6,5,con,polite,8.082,,196.9,196.7,32.2,131,272.9,141.9,91.22,91.44,2.9,4.67,17.38,12.71,74.6,72.5,42.4,0.00998,0.00205,0.00401,0.0009,0.06721,0.07585,0.01985,1.16,-15.6,-21.9,17.8,0.0677,0.00998,0.00205,0.06709,0.01975
Korean,F,epr,epr_kor,6,5,pan,casual,5.678,,186.8,184.3,23.6,77.7,244.6,166.9,90.39,90.31,2.44,-4.35,15.48,19.84,73,71.1,25.6,0.01049,0.00266,0.00509,0.0011,0.07454,0.07553,0.0222,-0.42,-14.9,-24,17.4,0.0711,0.01049,0.00266,0.07454,0.02222
Korean,F,epr,epr_kor,6,6,con,polite,8.688,,195.8,196.4,27.9,123.7,265.3,141.6,91.18,91.41,2.5,3.7,16.88,13.18,73.5,71.1,31.1,0.00948,0.00239,0.00446,0.0008,0.06696,0.07412,0.0205,3.63,-13.7,-22.7,18.1,0.0735,0.00948,0.00239,0.06696,0.0205
Korean,F,epr,epr_kor,6,6,pan,casual,8.469,,191.6,191.5,32.5,79.7,276,196.3,90.73,90.98,3.03,-3.92,17.58,21.49,72.2,69.1,47.3,0.01119,0.00306,0.00533,0.0009,0.07519,0.0711,0.02322,2.92,-12.4,-24.4,17,0.0869,0.01119,0.00306,0.07519,0.02322
Korean,F,epr,epr_kor,6,7,con,polite,9.238,,189.6,181.3,26.8,146,276.3,130.3,90.64,90.02,2.35,6.56,17.58,11.03,73.7,70.9,35.2,0.01016,0.00244,0.00464,0.0007,0.08495,0.07717,0.02971,4.15,-15,-23,16.8,0.0887,0.01016,0.00244,0.08495,0.02971
Korean,F,epr,epr_kor,6,7,pan,casual,7.776,,187.4,180.9,23.9,139.3,251.4,112.2,90.46,89.99,2.18,5.74,15.96,10.23,73.6,71.2,33.6,0.01112,0.00295,0.00492,0.0009,0.07252,0.06727,0.022,4.25,-14.6,-22.4,17.5,0.0796,0.01112,0.00295,0.07252,0.02177
Korean,F,epr,epr_kor,6,8,con,polite,9.74,,197.4,196.5,32,135,304.2,169.2,91.28,91.42,2.73,5.2,19.26,14.06,74.2,72.1,32,0.01264,0.00288,0.00508,0.0009,0.08179,0.07289,0.02689,-0.7,-16.4,-21.9,16.4,0.0902,0.01264,0.00288,0.08179,0.02689
Korean,F,epr,epr_kor,6,8,pan,casual,7.217,,183.3,177,25.6,141.6,293.5,151.9,90.06,89.61,2.36,6.03,18.64,12.62,73.6,70.6,35,0.01088,0.00287,0.00536,0.0008,0.07536,0.08746,0.02228,2.01,-15.4,-24.1,17.6,0.0873,0.01088,0.00287,0.07536,0.02228
